Designator,Mid X,Mid Y,Rotation,Layer
C1,84.85,-98.75,90,top
C2,74.55,-102,0,top
C3,74.95,-103.25,0,top
C4,82.15,-98.6,-90,top
C5,84.375,-93.975,0,top
C6,79.55,-95.75,180,top
C7,84.0875,-90.9,-90,top
C8,77.2,-110.7,-90,top
C9,75.1,-105.8,90,top
C10,80.3,-110.45,180,top
C11,88.9,-91.4,180,top
C12,114,-91.4,180,top
C13,138.9,-91.5,180,top
C14,163.9,-91.5,180,top
C15,88.9,-94.4,180,top
C16,114,-94.4,180,top
C17,138.9,-94.5,180,top
C18,163.9,-94.5,180,top
C19,88.9,-95.4,180,top
C20,114,-95.4,180,top
C21,138.9,-95.5,180,top
C22,163.9,-95.5,180,top
C23,88.9,-96.4,180,top
C24,114,-96.4,180,top
C25,138.9,-96.5,180,top
C26,163.9,-96.5,180,top
C27,103.75,-110.2,0,top
C28,128.75,-110.225,0,top
C29,153.8,-110.175,0,top
C30,178.75,-110.2,0,top
C31,109.6,-111.075,90,top
C32,159.65,-111.075,90,top
C33,115.7,-114.98,-90,top
C34,165.75,-115.025,-90,top
C35,110.6,-111.075,90,top
C36,160.65,-111.075,90,top
C37,109.1,-116.25,180,top
C38,159.1,-116.25,180,top
C39,107,-114,0,top
C40,157,-114,0,top
C41,134.6,-111.08,90,top
C42,184.6,-111.075,90,top
C43,140.7,-115,-90,top
C44,190.7,-115.025,-90,top
C45,135.6,-111.08,90,top
C46,185.6,-111.075,90,top
C47,134.1,-116.25,180,top
C48,184.1,-116.25,180,top
C49,132,-114,0,top
C50,182,-114,0,top
D1,100,-100,180,top
D2,125,-100,180,top
D3,150,-100,180,top
D4,175,-100,180,top
J2,188.45,-109.475,90,top
J3,163.55,-109.475,90,top
J4,138.5,-109.45,90,top
J6,113.5,-109.45,90,top
J7,102,-116,-90,top
J8,127,-116,-90,top
J10,152,-116,-90,top
J11,177,-116,-90,top
J13,188.5,-90.5,90,top
L1,76.4,-99.4,90,top
R1,80.25,-101.975,0,top
R2,83.65,-98.6,90,top
R3,81.0875,-87.65,180,top
R4,78.0875,-87.65,180,top
R5,82.1,-112.4,0,top
R6,82.1,-113.9,180,top
R7,89.4,-89.96,-90,top
R8,114.5,-89.99,-90,top
R9,139.4,-90,-90,top
R10,164.4,-90,-90,top
R11,89.4,-92.9,-90,top
R12,114.5,-92.9,-90,top
R13,139.4,-93,-90,top
R14,164.4,-92.99,-90,top
R15,104.65,-112.675,0,top
R16,129.65,-112.7,0,top
R17,154.7,-112.625,0,top
R18,179.66,-112.675,0,top
R19,104.1,-111.425,0,top
R20,129.1,-111.45,0,top
R21,154.15,-111.4,0,top
R22,179.1,-111.425,0,top
R23,110.1,-112.575,0,top
R24,135.09,-112.58,0,top
R25,160.14,-112.575,0,top
R26,185.09,-112.575,0,top
R27,110.15,-114.4875,180,top
R28,135.15,-114.5,180,top
R29,160.2,-114.525,180,top
R30,185.15,-114.525,180,top
R31,112.4,-116.0875,0,top
R32,137.4,-116.1,0,top
R33,162.4,-116.125,0,top
R34,187.3,-116.125,0,top
U1,79.7,-99.4125,90,top
U2,79.7,-91.7,-90,top
U3,79.6,-106.0625,180,top
U4,107.225,-112.175,0,top
U5,132.225,-112.2,0,top
U6,157.275,-112.15,0,top
U7,182.225,-112.175,0,top
U8,113.15,-113.5375,0,top
U9,138.15,-113.55,0,top
U10,163.2,-113.575,0,top
U11,188.15,-113.575,0,top
